id	filename	md5	size	state
de00cd78-120d-477e-a0fe-a8d8343392fd	bd4139bb-7649-4ecb-8dab-bdba513a3f73.FPKM.txt.gz	7c34a6ffc270e15d983f328c146b17c7	343152	released
efedc00e-8b8b-4cae-9879-feb5c891c3b4	b853abf0-27a9-4250-9f9f-cbab7c1289bb.rna_seq.star_gene_counts.tsv.gz	b764d46e5abc419596641c6943a0282a	402671	released
44cab0b3-2885-4e57-a5e2-e511ce34b2b0	980ab711-f33c-4ad7-8789-c95ff0c37e68.FPKM.txt.gz	7374db22c6d8abb21b7721ec9c4131f9	319701	released
799ea585-7bf7-4d9b-8b3d-92e9b5c7e155	9d3627df-4652-46f7-b547-ba78c6ca79b4.rna_seq.star_gene_counts.tsv.gz	e211889b4b0406e9bcfc2e5bb42b2266	388100	released
e45d5b12-7bb4-4f4e-ba3f-0aee6543928c	8fe40ad8-1ce8-42f4-ab6f-5e56def1baea.FPKM-UQ.txt.gz	3221a645db72c301aee4d90b8102a479	364934	released
d6ff7951-bce9-471c-b16c-c63ca6120223	7125f642-7b35-49b6-b400-b80f2d7a052d.htseq_counts.txt.gz	806f1bf89811d876b0051befec3b5410	247464	released
d50bfed7-a259-4893-bd11-000cdc697a85	ed73ae28-9848-482f-9b70-d181447050de.rna_seq.star_gene_counts.tsv.gz	abb1193f947a6582b33b7e0f985f75dd	398899	released
677342f7-1f9a-4615-925c-746d2d460b49	de2b4915-95fc-45d9-b327-adde18559211.htseq_counts.txt.gz	caddc40dce3281fe0d63448189cbfe4d	245971	released
efe63cba-3d61-43d5-ba72-bc7b5fda3036	17dea5b7-8d83-438a-afda-9c4ddbc2d409.htseq_counts.txt.gz	bc78602fa8920436968af1474e253bf0	258856	released
0a103a75-977f-42a3-b9b2-33c8378e33ef	f5b81927-264c-46a0-a114-deb5f773a494.FPKM-UQ.txt.gz	d995d2284ff3311888b61fb7b7ed39cf	405020	released
87c7e7ed-6a68-4f9b-91f0-61d26248568b	e2ee69bf-2e1f-4b9c-8aa5-97a5948e7b77.htseq_counts.txt.gz	46e860c5bf57ee22cf06f2667434e293	252832	released
f25bd239-4a0f-4180-86bd-52728cf52c6e	6b68ed39-a803-4bcd-bdfe-28d2804ba29a.htseq_counts.txt.gz	2855aaf65cc20e1b1b8ce75f1e1d7e41	249881	released
0faa10dc-270c-4681-a401-f0f46f1e2a8a	63c43d0e-c7d5-4dec-97c4-fed3117fbbff.FPKM.txt.gz	b8830be704c2bb63977dd4ad017b98ec	301220	released
5287aaa8-2302-40eb-b903-4ab406c29489	2b0bf423-f434-4c84-bb6e-72dce1ca3c4d.FPKM-UQ.txt.gz	3c211f9a50eb9fba89b793b9e63608cf	400971	released
787ed72a-f8e8-4290-8ed8-308775a0808a	d16af930-54bb-44be-b346-3d23d43e5c88.htseq_counts.txt.gz	14de9e3ef4a7a7d52ec91205f2e687fd	247965	released
830df9c7-4c6a-40e5-9844-625927f94fe6	f6c31415-9640-4219-802d-f6f7f285f7fd.FPKM-UQ.txt.gz	02d71e33478df106e6fa79add2d732fe	417309	released
4b03a5e8-87b5-429f-8282-66226b1b5d93	05749cbc-2892-48aa-87ea-d5511a7c33df.FPKM.txt.gz	94c9b4836de9ff5b6b0c04cfe13bf2f7	317807	released
203deee3-ada9-4859-9c1f-39c470c5ab4c	66506c2a-410f-4049-af41-426ec2c617e9.htseq_counts.txt.gz	7e96161653d17df1287322db5bb1bced	245497	released
082f0433-27a0-484c-85a1-ed5966c2ede1	09e1f7c1-108f-42a2-ae49-8c7dd4c9a0e7.FPKM.txt.gz	97b45bad9bd63b53dd7c8fdd854eed1d	325983	released
